Date;Price;Open;High;Low;Vol.;Change %;Price_5D_MA;Open_5D_MA;High_5D_MA;Low_5D_MA;Vol._5D_MA;Change %_5D_MA;Price_10D_MA;Open_10D_MA;High_10D_MA;Low_10D_MA;Vol._10D_MA;Change %_10D_MA;Price_50D_MA;Open_50D_MA;High_50D_MA;Low_50D_MA;Vol._50D_MA;Change %_50D_MA;Price_100D_MA;Open_100D_MA;High_100D_MA;Low_100D_MA;Vol._100D_MA;Change %_100D_MA;Price_200D_MA;Open_200D_MA;High_200D_MA;Low_200D_MA;Vol._200D_MA;Change %_200D_MA;RSI EWMA;RSI SMA;Position_10D_MA_50D_MA;Position_50D_MA_200D_MA;Previous_Position_10D_MA_50D_MA;Previous_Position_50D_MA_200D_MA;GoldenCross_10D_MA_50D_MA;DeathCross_10D_MA_50D_MA;GoldenCross_50D_MA_200D_MA;DeathCross_50D_MA_200D_MA;K;D;Momentum;Price_Orig;Price_D1;Price_Orig_D1;Price_D5;Price_Orig_D5;Price_D10;Price_Orig_D10;Price_D30;Price_Orig_D30
24/01/2016;0.410308648;0.392788021;0.414038657;0.405795574;0.084482445;0.845008898;0.331347181;0.330236141;0.344131367;0.324747462;0.279788173;0.803003964;0.246230524;0.253527551;0.251047496;0.251418501;0.434333245;0.718443293;0.323460993;0.320253711;0.314408577;0.333900657;0.677019908;0.554712289;0.264854534;0.261358832;0.264700549;0.262806669;0.990642386;0.454182639;0.172492856;0.171862508;0.176357457;0.166542541;0.989083107;0.41423031;0.483018208;0.38872186;0;1;1;1;0;1;0;0;0.663101604;0.476830469;0.540320025;402.8;0.398288683;391;0.384638892;377.6;0.375878578;369;0.428949781;421.1
23/01/2016;0.392788021;0.388102272;0.400813835;0.400316122;0.078115336;0.818718654;0.325697329;0.330573141;0.339749329;0.322854966;0.272074907;0.757457757;0.249930195;0.260012542;0.254970333;0.257278771;0.425235916;0.685182661;0.323036234;0.319516027;0.314000828;0.333100346;0.685930194;0.567275534;0.262262318;0.258940559;0.262225865;0.260248185;0.990313652;0.450979362;0.170821914;0.170432494;0.17471695;0.165033204;0.992932325;0.394714598;0.425592119;0.340872111;0;1;1;1;0;1;0;0;0.42519685;0.494587161;0.520358048;385.6;0.410308648;402.8;0.385453805;378.4;0.379851278;372.9;0.448507691;440.3
22/01/2016;0.388102272;0.418661506;0.418311292;0.391253952;0.226341641;0.749797767;0.326029674;0.330813856;0.338665599;0.321675228;0.269618942;0.758083583;0.256282459;0.267281434;0.26093192;0.262508597;0.436029823;0.675436205;0.322292905;0.318840914;0.313072416;0.332205676;0.68323501;0.565003001;0.259835721;0.256576068;0.259799181;0.257762407;0.987553294;0.449509006;0.169473477;0.169074715;0.173321153;0.163647787;1;0.400730907;0.409601164;0.318873293;0;1;1;1;0;1;0;0;0.340269278;0.587070696;0.520595691;381;0.392788021;385.6;0.402363247;395;0.378323317;371.4;0.448711419;440.5
21/01/2016;0.418661506;0.427319955;0.431943032;0.426765016;0.105621248;0.792671089;0.326290801;0.325373709;0.334330679;0.323518569;0.216431943;0.79758014;0.26340258;0.27274023;0.266331093;0.270819005;0.397925589;0.699154853;0.321619263;0.317131726;0.311814669;0.331562632;0.669522325;0.598233428;0.257463089;0.253614427;0.257038272;0.255380776;0.974524403;0.47109174;0.16806419;0.167233326;0.171587989;0.162243781;0.991676044;0.423304495;0.492330516;0.363468001;0;1;1;1;0;1;0;0;0.694711538;0.54277688;0.539369455;411;0.388102272;381;0.398594275;391.3;0.372313334;365.5;0.446877865;438.7
20/01/2016;0.427218091;0.385963125;0.435401831;0.395152792;0.30125523;0.895243488;0.320925816;0.310810486;0.32674457;0.310787229;0.274044796;0.868854739;0.268749651;0.277001796;0.27025393;0.276349725;0.384884862;0.712718103;0.319896996;0.31526117;0.309885705;0.329507687;0.670516741;0.602649859;0.254491252;0.250400573;0.253994695;0.252219024;0.971412726;0.481883107;0.16623382;0.165232775;0.169655256;0.160367644;0.988310817;0.43270187;0.518608175;0.470289264;0;1;1;1;0;1;0;0;0.686721992;0.43093986;0.569391635;419.4;0.418661506;411;0.398288683;391;0.384027707;377;0.427829276;420
19/01/2016;0.386064989;0.394214118;0.395116989;0.39768177;0.062543205;0.792023944;0.306563798;0.322942493;0.3270744;0.306608991;0.32659222;0.680620263;0.272937957;0.287021465;0.273389387;0.285806396;0.321561219;0.640199019;0.318015444;0.315195305;0.308380172;0.328745819;0.655245349;0.540734071;0.251266334;0.247973028;0.250801783;0.249672329;0.951927106;0.451924592;0.16424524;0.163709712;0.167622738;0.158844676;0.975861575;0.407667064;0.368355603;0.340085173;0;1;0;1;0;0;0;0;0.259818731;0.296727682;0.481622307;379;0.427218091;419.4;0.410308648;402.8;0.384638892;377.6;0.429357237;421.5
18/01/2016;0.394214118;0.389120913;0.396134283;0.395258166;0.071129707;0.819446691;0.318504451;0.333558;0.338029496;0.318553838;0.321616332;0.692232807;0.282738594;0.296570793;0.282894182;0.295850527;0.313830324;0.64728735;0.317945757;0.314763892;0.308257848;0.328487204;0.667261212;0.553811851;0.24882671;0.245358179;0.24831821;0.247066684;0.948835505;0.459460169;0.162730074;0.162131554;0.166128344;0.15730312;0.975879048;0.409407319;0.390922749;0.354672262;0;1;0;1;0;0;0;0;0.340382679;0.315173299;0.486533587;387;0.386064989;379;0.392788021;385.6;0.385453805;378.4;0.422634206;414.9
17/01/2016;0.389222777;0.395640216;0.399593082;0.399157007;0.075059123;0.795745025;0.328973294;0.345593722;0.349102389;0.3287045;0.339127876;0.681663306;0.292092478;0.307516889;0.293523804;0.306123911;0.32382638;0.630929662;0.317491131;0.313993275;0.307837553;0.327805717;0.669597301;0.565646171;0.246202859;0.2428138;0.24577597;0.244482654;0.944983551;0.457333403;0.16116136;0.16067338;0.164648206;0.155796262;0.976277423;0.401650756;0.370156046;0.352048601;0;1;0;1;0;0;0;0;0.281128405;0.204246846;0.481939163;382.1;0.394214118;387;0.388102272;381;0.402363247;395;0.414892533;407.3
16/01/2016;0.395640216;0.365692167;0.399186165;0.372181243;0.26949245;0.875586475;0.340818991;0.360253232;0.362484097;0.341116327;0.339166251;0.666365343;0.302828503;0.313289245;0.303239504;0.313044475;0.355951322;0.691521265;0.316714618;0.313021772;0.306874639;0.326841151;0.669088254;0.57242089;0.243647861;0.240117353;0.243155507;0.241806267;0.940720052;0.463608675;0.159710695;0.159060941;0.163176382;0.154258424;0.980886701;0.411719372;0.386707923;0.357152796;1;1;0;1;1;0;0;0;0.314847943;0.18517942;0.473225602;388.4;0.389222777;382.1;0.418661506;411;0.398594275;391.3;0.407354589;399.9
15/01/2016;0.365590303;0.437302638;0.436826043;0.377239199;0.450718574;0.676265976;0.355275964;0.382013817;0.376643264;0.363334726;0.263363905;0.608928447;0.308357067;0.323665232;0.308835522;0.323332187;0.296039177;0.629293893;0.31573568;0.31285711;0.306068552;0.32666641;0.654026005;0.543049481;0.24094213;0.237984674;0.240545711;0.23963293;0.923633434;0.44066061;0.158107904;0.157710508;0.161576265;0.152962228;0.974014719;0.399189539;0.252466111;0.220483591;1;1;0;1;1;0;0;0;0.008411215;0.14104158;0.4497782;358.9;0.395640216;388.4;0.427218091;419.4;0.398288683;391;0.415911174;408.3
14/01/2016;0.437302638;0.439136192;0.44242116;0.448893572;0.048390031;0.805533085;0.376759644;0.386804034;0.381567168;0.383734362;0.12249127;0.723176413;0.318534651;0.32417833;0.309608841;0.333390646;0.192722137;0.73943566;0.315573077;0.309583637;0.304177226;0.325666896;0.636911785;0.644756024;0.238807692;0.234611333;0.237319021;0.237382957;0.894742521;0.480360237;0.156766769;0.155534878;0.159470096;0.151590442;0.954621858;0.437102228;0.493615881;0.492715937;1;1;0;1;1;0;0;0;0.265432099;0.254847295;0.505703422;429.3;0.365590303;358.9;0.386064989;379;0.410308648;402.8;0.400325965;393
